SNID,IAUC,FAKE,RA,DECL,PIXSIZE,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_OBJID,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SNSEP,PEAKMJD,SEARCH_TYPE
13840       ,UNKNOWN ,0,-46.293671,0.12498,0.40000000596,0,121,608842,608962,0.0832000002265,0.0138999996707,0.241899996996,0.000500000023749,0.240640997887,0.000500000023749,1237656568649482240,0.183300003409,-9.0,0.0769999995828,54005.0,0
13841       ,UNKNOWN ,0,-45.350342,0.082875,0.40000000596,101,121,608964,609084,0.0794000029564,0.0131999999285,-9.0,-9.0,-9.0,-9.0,1237663457775387904,0.308699995279,-9.0,0.225999996066,54014.0,101
13842       ,UNKNOWN ,0,-43.268677,0.163937,0.40000000596,101,119,609086,609204,0.105400003493,0.0175999999046,-9.0,-9.0,-9.0,-9.0,1237663457776240384,0.128800004721,-9.0,0.0680000036955,54014.0,101
13843       ,UNKNOWN ,0,-40.839661,0.207175,0.40000000596,103,201,609206,609406,0.0899000018835,0.0149999996647,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54008.0,103
13844       ,UNKNOWN ,0,-39.801392,0.090425,0.40000000596,0,114,609408,609521,0.0610999986529,0.0102000003681,-9.0,-9.0,-9.0,-9.0,1237663457777812480,-9.0,-9.0,0.287999987602,53986.0,0
13845       ,UNKNOWN ,0,-39.428711,0.020909,0.40000000596,110,112,609523,609634,0.0579000003636,0.00960000045598,0.423312991858,2.30000005104e-05,0.421763002872,2.30000005104e-05,1237663457777943808,0.540199995041,-9.0,0.354000002146,54045.0,110
13846       ,UNKNOWN ,0,-39.307678,0.125576,0.40000000596,101,111,609636,609746,0.0681999996305,0.0114000001922,-9.0,-9.0,-9.0,-9.0,1237663457778009856,-9.0,-9.0,0.108999997377,54013.0,101
13848       ,UNKNOWN ,0,-31.411987,0.176391,0.40000000596,5,110,609748,609857,0.0762000009418,0.0126999998465,-9.0,-9.0,-9.0,-9.0,1237663479256712192,-9.0,-9.0,0.16400000453,54009.0,5
13849       ,UNKNOWN ,0,-29.93515,0.089228,0.40000000596,101,119,609859,609977,0.0588000006974,0.00980000011623,-9.0,-9.0,-9.0,-9.0,1237663479257367296,-9.0,-9.0,0.188999995589,54043.0,101
13850       ,UNKNOWN ,0,-10.414856,0.910537,0.40000000596,104,104,609979,610082,0.0566999986768,0.0093999998644,0.18904300034,1.49999996211e-05,0.18758200109,1.49999996211e-05,1237663278460043520,0.163599997759,-9.0,0.0469999983907,54013.0,104
13851       ,UNKNOWN ,0,-10.299866,0.873217,0.40000000596,5,104,610084,610187,0.054699998349,0.00910000037402,-9.0,-9.0,-9.0,-9.0,1237663278460109312,-9.0,-9.0,0.0860000029206,54017.0,5
13852       ,UNKNOWN ,0,-9.427368,0.971477,0.40000000596,5,104,610189,610292,0.0469000004232,0.0077999997884,-9.0,-9.0,-9.0,-9.0,1237663278460502272,0.543200016022,-9.0,0.225999996066,54016.0,5
13853       ,UNKNOWN ,0,5.614898,0.921823,0.40000000596,101,107,610294,610400,0.0227000005543,0.00380000006407,-9.0,-9.0,-9.0,-9.0,1237663278467121408,-9.0,-9.0,0.25799998641,54014.0,101
13854       ,UNKNOWN ,0,5.665258,0.960018,0.40000000596,5,109,610402,610510,0.0232999995351,0.0038999998942,-9.0,-9.0,-9.0,-9.0,1237663278467121408,-9.0,-9.0,0.0439999997616,54013.0,5
13855       ,UNKNOWN ,0,-27.188721,0.187946,0.40000000596,104,119,610512,610630,0.0520999990404,0.00870000012219,0.177735000849,1.49999996211e-05,0.176339998841,1.49999996211e-05,1237663479258546432,0.168699994683,-9.0,1.76100003719,54006.0,104
13857       ,UNKNOWN ,0,-26.165924,0.170444,0.40000000596,101,115,610632,610746,0.0732000023127,0.0121999997646,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54010.0,101
13858       ,UNKNOWN ,0,-24.687439,0.117274,0.40000000596,101,115,610748,610862,0.069399997592,0.0115999998525,-9.0,-9.0,-9.0,-9.0,1237663479259661056,-9.0,-9.0,0.300999999046,53992.0,101
13859       ,UNKNOWN ,0,11.06211,0.966977,0.40000000596,103,114,610864,610977,0.021099999547,0.00350000010803,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54008.0,103
13860       ,UNKNOWN ,0,-24.018311,0.085838,0.40000000596,5,115,610979,611093,0.0746000036597,0.0124000003561,-9.0,-9.0,-9.0,-9.0,1237663479259923200,-9.0,-9.0,0.0710000023246,54008.0,5
13861       ,UNKNOWN ,0,-22.152496,0.075369,0.40000000596,106,115,611095,611209,0.0703999996185,0.0116999996826,0.393678992987,5.29999997525e-05,0.391995996237,5.29999997525e-05,1237663479260775680,0.591000020504,-9.0,1.22099995613,54004.0,106
13862       ,UNKNOWN ,0,-18.4151,0.119667,0.40000000596,101,110,611211,611320,0.0733999982476,0.0121999997646,-9.0,-9.0,-9.0,-9.0,1237663479262413312,0.432999998331,-9.0,0.194000005722,54011.0,101
13863       ,UNKNOWN ,0,-11.583832,0.049874,0.40000000596,5,105,611322,611426,0.0474000014365,0.00789999961853,-9.0,-9.0,-9.0,-9.0,1237663784192311808,-9.0,-9.0,0.119999997318,54015.0,5
13864       ,UNKNOWN ,0,-11.425934,0.191009,0.40000000596,106,105,611428,611532,0.0408000014722,0.00680000009015,0.300850003958,4.80000016978e-05,0.299254000187,4.80000016978e-05,1237663784192377600,0.30450001359,-9.0,1.70700001717,54006.5664062,106
13865       ,UNKNOWN ,0,-10.571259,0.213841,0.40000000596,5,204,611534,611737,0.0423999987543,0.00710000004619,-9.0,-9.0,-9.0,-9.0,1237666408437777152,0.632000029087,-9.0,0.0839999988675,54019.0,5
13866       ,UNKNOWN ,0,-9.262054,0.038959,0.40000000596,5,104,611739,611842,0.0460000000894,0.00769999995828,-9.0,-9.0,-9.0,-9.0,1237663784193360128,0.231900006533,-9.0,0.0710000023246,54013.0,5
13867       ,UNKNOWN ,0,-8.545166,0.029351,0.40000000596,106,104,611844,611947,0.0386999994516,0.00650000013411,0.347238987684,9.300000238e-05,0.345589011908,9.300000238e-05,1237663784193622784,0.332300007343,-9.0,0.115999996662,53991.0,106
13868       ,UNKNOWN ,0,-6.993408,0.108315,0.40000000596,104,109,611949,612057,0.0388000011444,0.00650000013411,0.18753400445,2.99999992421e-05,0.186082005501,2.99999992421e-05,1237663784194343168,0.146400004625,-9.0,4.75600004196,54007.0,104
13870       ,UNKNOWN ,0,-6.792877,0.099044,0.40000000596,5,110,612059,612168,0.0373999997973,0.00620000017807,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9.0,-9.0,54020.0,5
13871       ,UNKNOWN ,0,-5.483978,0.167618,0.40000000596,101,117,612170,612286,0.0370000004768,0.00620000017807,-9.0,-9.0,-9.0,-9.0,1237663784194999296,0.667800009251,-9.0,0.254999995232,54014.0,101
13873       ,UNKNOWN ,0,7.603938,0.048348,0.40000000596,110,110,612288,612397,0.0225000008941,0.00370000000112,0.287844002247,2.80000003841e-05,0.286354988813,2.80000003841e-05,1237663784200700160,0.28639999032,-9.0,0.236000001431,53992.0,110
13874       ,UNKNOWN ,0,8.370517,0.051573,0.40000000596,101,109,612399,612507,0.0197000000626,0.00329999998212,-9.0,-9.0,-9.0,-9.0,1237663784201028352,-9.0,-9.0,0.0430000014603,53943.0,101
13876       ,UNKNOWN ,0,13.124485,-0.403021,0.40000000596,5,113,612509,612621,0.0331999994814,0.0054999999702,-9.0,-9.0,-9.0,-9.0,1237663783666254080,0.150800004601,-9.0,0.162000000477,54005.0,5
13881       ,UNKNOWN ,0,-22.033813,0.683009,0.40000000596,5,93,612623,612715,0.0794000029564,0.0131999999285,-9.0,-9.0,-9.0,-9.0,1237663544223203584,-9.0,-9.0,0.138999998569,54010.0,5
